record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,od_buy,mid_rate
native,ocbc,GBP,SGD,GBP/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,1.7477,1.7085,,1.728
native,ocbc,HKD,SGD,HKD/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,16.5079,16.1088,,16.3084
native,ocbc,HKD,SGD,HKD/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,16.4785,16.1186,,16.3084
native,ocbc,HUF,SGD,HUF/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,HUF,SGD,HUF/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,IDR,SGD,IDR/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0074,0.0,,0.0074
native,ocbc,IDR,SGD,IDR/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0074,0.0,,0.0074
native,ocbc,ILS,SGD,ILS/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,ILS,SGD,ILS/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,INR,SGD,INR/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,1.3809,0.0,,1.3809
native,ocbc,INR,SGD,INR/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,1.3782,0.0,,1.3809
